layers,mean,std,variance,theoretical_mean,theoretical_std,chi2_pvalue,mean_error_pct,std_error_pct,tests_passed,is_gaussian,num_qubits,circuit_depth,total_gates,simulation_time
1,0.4972,0.49999215993853346,0.24999216000000002,0.5,0.5,0.6921199319709659,0.005600000000000049,1.5680122933070528e-05,3/3,True,2,5,8,0.06325387954711914
2,1.0006,0.7035621081326084,0.4949996400000002,1.0,0.7071067811865476,1.0449171814475425e-05,0.0005999999999999339,0.0050129247070591736,2/3,True,4,13,25,0.07823419570922852
3,1.4808,0.8667360382492468,0.7512313599999999,1.5,0.8660254037844386,0.006236753437123181,0.01280000000000007,0.0008205699991049205,1/3,True,6,20,42,0.07665801048278809
4,2.0024,0.9933751758525075,0.98679424,2.0,1.0,0.023060259626201687,0.0012000000000000899,0.006624824147492547,1/3,True,8,23,59,0.07787513732910156
5,2.4976,1.1048955787765649,1.2207942400000003,2.5,1.118033988749895,0.02478631555571785,0.0009600000000000719,0.011751351126650872,1/3,True,10,26,76,0.08137965202331543
6,3.0066,1.2277444522375167,1.50735644,3.0,1.224744871391589,0.07099561138956394,0.002200000000000054,0.0024491475049163236,2/3,True,12,29,93,0.07959866523742676
7,3.524,1.3442559280137096,1.8070239999999997,3.5,1.3228756555322954,0.13514675163824666,0.006857142857142863,0.01616196684246286,2/3,True,14,32,110,0.0834956169128418
8,3.9976,1.4048466962626207,1.97359424,4.0,1.4142135623730951,0.041745429126022436,0.0006000000000000449,0.006623374545182935,1/3,True,16,35,127,0.09276556968688965
9,4.508,1.49864472107301,2.245936,4.5,1.5,0.05055300051639531,0.0017777777777777794,0.000903519284659963,2/3,True,18,38,144,0.09293341636657715
10,4.994,1.5651083029618111,2.4495640000000005,5.0,1.5811388300841898,0.08404392373997897,0.0012000000000000454,0.010138595559964244,2/3,True,20,41,161,0.11069726943969727
